Date,Open,High,Low,Close,Adj Close,Volume
2022-12-29,104.080002,104.214996,103.535004,103.585999,103.585999,14452
2022-12-30,103.639999,103.864998,103.144997,103.268997,103.268997,0
2023-01-03,103.445000,104.650002,103.235001,104.311996,104.311996,32361
2023-01-04,104.375000,104.385002,103.595001,104.021004,104.021004,22696
2023-01-05,103.830002,105.059998,103.779999,104.828003,104.828003,26336
2023-01-06,104.839996,105.500000,103.620003,103.646004,103.646004,38586
2023-01-09,103.690002,103.690002,102.680000,102.742996,102.742996,35675
2023-01-10,102.974998,103.250000,102.769997,102.980003,102.980003,20582
2023-01-11,102.980003,103.230003,102.849998,102.928001,102.928001,22717
2023-01-12,102.900002,103.099998,101.809998,101.995003,101.995003,52384
2023-01-13,102.000000,102.394997,101.720001,101.945999,101.945999,24046
2023-01-17,102.044998,102.324997,101.680000,102.140999,102.140999,27427
2023-01-18,102.254997,102.654999,101.264999,102.107002,102.107002,40255
2023-01-19,102.199997,102.264999,101.760002,101.831001,101.831001,20172
2023-01-20,101.855003,102.320000,101.699997,101.780998,101.780998,16661
2023-01-23,101.720001,102.040001,101.345001,101.916000,101.916000,21423
2023-01-24,101.769997,102.205002,101.485001,101.675003,101.675003,22219
2023-01-25,101.735001,101.889999,101.330002,101.416000,101.416000,23307
2023-01-26,101.394997,101.985001,101.294998,101.638000,101.638000,23082
2023-01-27,101.519997,101.989998,101.489998,101.721001,101.721001,18244
2023-01-30,101.750000,102.125000,101.459999,102.085999,102.085999,21429
2023-01-31,102.014999,102.449997,101.824997,101.915001,101.915001,31110
2023-02-01,101.925003,102.014999,100.805000,101.028000,101.028000,36730
2023-02-02,100.750000,101.745003,100.680000,101.574997,101.574997,42485
2023-02-03,101.650002,102.849998,101.379997,102.754997,102.754997,39169
2023-02-06,102.894997,103.650002,102.845001,103.498001,103.498001,37018
2023-02-07,103.415001,103.849998,102.870003,103.297997,103.297997,27277
2023-02-08,103.169998,103.385002,102.879997,103.272003,103.272003,17728
2023-02-09,103.385002,103.449997,102.519997,103.106003,103.106003,21833
2023-02-10,103.120003,103.589996,102.800003,103.535004,103.535004,21575
2023-02-13,103.434998,103.745003,103.125000,103.248001,103.248001,15172
2023-02-14,103.099998,103.440002,102.389999,103.123001,103.123001,37117
2023-02-15,103.120003,104.029999,103.070000,103.838997,103.838997,24334
2023-02-16,103.815002,104.169998,103.464996,103.791000,103.791000,29827
2023-02-17,104.095001,104.605003,103.764999,103.779999,103.779999,24047
2023-02-21,103.849998,104.199997,103.699997,104.112000,104.112000,17921
2023-02-22,104.029999,104.540001,103.945000,104.523003,104.523003,15072
2023-02-23,104.430000,104.735001,104.264999,104.539001,104.539001,15237
2023-02-24,104.445000,105.275002,104.375000,105.157997,105.157997,23919
2023-02-27,105.209999,105.320000,104.489998,104.624001,104.624001,17992
2023-02-28,104.610001,104.949997,104.360001,104.824997,104.824997,18884
2023-03-01,104.985001,105.035004,104.044998,104.431999,104.431999,26128
2023-03-02,104.440002,105.154999,104.419998,104.995003,104.995003,18328
2023-03-03,104.845001,104.985001,104.449997,104.487999,104.487999,19110
2023-03-06,104.540001,104.665001,104.129997,104.324997,104.324997,21761
2023-03-07,104.275002,105.635002,104.095001,105.592003,105.592003,24980
2023-03-08,105.599998,105.870003,105.334999,105.634003,105.634003,31058
2023-03-09,105.644997,105.730003,105.135002,105.305000,105.305000,24403
2023-03-10,105.120003,105.364998,104.025002,104.552002,104.552002,22050
2023-03-13,104.084999,104.339996,103.730003,103.712997,103.712997,33071
2023-03-14,103.245003,103.779999,103.084999,103.214996,103.214996,19861
2023-03-15,103.324997,104.720001,103.044998,104.276001,104.276001,27708
2023-03-16,104.339996,104.404999,103.894997,104.092003,104.092003,27786
2023-03-17,104.099998,104.125000,103.334999,103.360001,103.360001,18180
2023-03-20,103.415001,103.639999,102.904999,102.932999,102.932999,14828
2023-03-21,102.959999,103.144997,102.635002,102.897003,102.897003,12934
2023-03-22,102.839996,102.910004,101.669998,101.972000,101.972000,19342
2023-03-23,102.095001,102.294998,101.555000,102.207001,102.207001,22477
2023-03-24,102.264999,103.025002,102.165001,102.764000,102.764000,14225
2023-03-27,102.769997,102.894997,102.480003,102.517998,102.517998,7355
2023-03-28,102.425003,102.430000,102.040001,102.106003,102.106003,9384
2023-03-29,102.129997,102.440002,102.029999,102.297997,102.297997,10002
2023-03-30,102.305000,102.459999,101.750000,101.820999,101.820999,8866
2023-03-31,101.904999,102.305000,101.730003,102.185997,102.185997,12303
2023-04-03,102.269997,102.745003,101.559998,101.787003,101.787003,16155
2023-04-04,101.735001,101.949997,101.139999,101.266998,101.266998,15261
2023-04-05,101.245003,101.680000,101.089996,101.544998,101.544998,16075
2023-04-06,101.574997,101.830002,101.434998,101.518997,101.518997,9870
2023-04-10,101.635002,101.985001,101.565002,101.730003,101.730003,11163
2023-04-11,102.169998,102.190002,101.695000,101.884003,101.884003,7758
2023-04-12,101.794998,101.834999,101.114998,101.170998,101.170998,15772
2023-04-13,101.169998,101.290001,100.529999,100.699997,100.699997,15171
